site_id,COMID,status,comments
KRWAMIS-1018623,42065888,MATCHED,Auto-match area diff: 2.4%
KRWAMIS-1018625,42065758,MATCHED,nan
KRWAMIS-1018630,42065692,MATCHED,Auto-match area diff: 0.7%
KRWAMIS-1018635,42065871,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1018638,42065686,MATCHED,Auto-match area diff: 4.2%
KRWAMIS-1018640,42065372,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1018658,42065452,MATCHED,Auto-match area diff: -2.7%
KRWAMIS-1018662,42065370,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-1018670,42065858,MATCHED,nan
KRWAMIS-1018675,42065691,MATCHED,nan
KRWAMIS-1018680,42065369,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1018683,42065368,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-1018695,42067253,MATCHED,nan
KRWAMIS-1018697,42065451,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1018698,42065453,MATCHED,nan
KRWAMIS-1019630,42065365,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1019667,42065891,MATCHED,nan
KRWAMIS-1021650,42065419,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-1021680,42065418,MATCHED,Auto-match area diff: 0.7%
KRWAMIS-1022626,42065663,MATCHED,nan
KRWAMIS-1022630,42065604,MATCHED,Auto-match area diff: -1.0%
KRWAMIS-1022635,42065578,MATCHED,Auto-match area diff: -1.2%
KRWAMIS-1022640,42065552,MATCHED,Auto-match area diff: -0.8%
KRWAMIS-1022643,42065531,MATCHED,nan
KRWAMIS-1022647,42065934,MATCHED,nan
KRWAMIS-1022648,42065702,MATCHED,nan
KRWAMIS-1022650,42065664,MATCHED,Auto-match area diff: 0.6%
KRWAMIS-1022655,42065651,MATCHED,Auto-match area diff: 3.8%
KRWAMIS-1022662,42065683,MATCHED,Auto-match area diff: 9.0%
KRWAMIS-1022664,42065518,MATCHED,nan
KRWAMIS-1022668,42065723,MATCHED,nan
KRWAMIS-1022670,42065634,MATCHED,Auto-match area diff: 3.7%
KRWAMIS-1022680,42065508,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-1023660,42065416,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1023670,42065412,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-1023674,42065806,MATCHED,nan
KRWAMIS-1101610,42066760,MATCHED,nan
KRWAMIS-1101620,42066628,MATCHED,Auto-match area diff: 7.7%
KRWAMIS-1101630,42066605,MATCHED,Auto-match area diff: -0.9%
KRWAMIS-1101635,42066597,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-1101645,42067206,MATCHED,nan
KRWAMIS-1101663,42067176,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-1101665,42066630,MATCHED,Auto-match area diff: 2.6%
KRWAMIS-1101670,42066611,MATCHED,Auto-match area diff: 1.8%
KRWAMIS-1101680,42066572,MATCHED,Auto-match area diff: 4.4%
KRWAMIS-1301658,42065611,MATCHED,Auto-match area diff: 1.6%
KRWAMIS-1302648,42065765,MATCHED,nan
KRWAMIS-1302668,42066487,MATCHED,Auto-match area diff: 7.2%
KRWAMIS-1302670,42065701,MATCHED,Auto-match area diff: 6.7%
KRWAMIS-1303610,42066755,MATCHED,nan
KRWAMIS-1303650,42066651,MATCHED,Auto-match area diff: 9.9%
KRWAMIS-1303680,42066617,MATCHED,Auto-match area diff: 6.1%
KRWAMIS-2001615,42066683,MATCHED,Auto-match area diff: 0.6%
KRWAMIS-2001625,42067083,MATCHED,nan
KRWAMIS-2001630,42066547,MATCHED,Auto-match area diff: 0.7%
KRWAMIS-2001655,42066631,MATCHED,Auto-match area diff: 0.0%
KRWAMIS-2001685,42066520,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-2002613,,MATCHED,Auto-skipped: NO_CANDIDATES
KRWAMIS-2002620,42066649,MATCHED,Auto-match area diff: -1.6%
KRWAMIS-2002633,42067037,MATCHED,Auto-match area diff: 0.9%
KRWAMIS-2002634,42066603,MATCHED,Auto-match area diff: 2.2%
KRWAMIS-2002638,42066594,MATCHED,nan
KRWAMIS-2002655,42066614,MATCHED,Auto-match area diff: 0.6%
KRWAMIS-2002677,42066537,MATCHED,Auto-match area diff: 1.0%
KRWAMIS-2002685,42066598,MATCHED,nan
KRWAMIS-2002692,42066532,MATCHED,Auto-match area diff: 1.5%
KRWAMIS-2002695,42066677,MATCHED,Auto-match area diff: 2.6%
KRWAMIS-2003610,42066518,MATCHED,Auto-match area diff: 1.0%
KRWAMIS-2003640,42066596,MATCHED,Auto-match area diff: 1.5%
KRWAMIS-2003650,42066562,MATCHED,Auto-match area diff: -1.0%
KRWAMIS-2003670,42066514,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-2003690,42066512,MATCHED,Auto-match area diff: 1.2%
KRWAMIS-2004605,42066721,MATCHED,nan
KRWAMIS-2004608,42066678,MATCHED,nan
KRWAMIS-2004615,42066763,MATCHED,nan
KRWAMIS-2004640,42066569,MATCHED,Auto-match area diff: 2.8%
KRWAMIS-2004650,42066548,MATCHED,Auto-match area diff: 5.7%
KRWAMIS-2004668,42066695,MATCHED,Auto-match area diff: 8.0%
KRWAMIS-2004680,42066534,MATCHED,Auto-match area diff: 0.8%
KRWAMIS-2004695,42066666,MATCHED,Auto-match area diff: 4.9%
KRWAMIS-2005640,42066644,MATCHED,nan
KRWAMIS-2005643,42066733,MATCHED,Auto-match area diff: 2.8%
KRWAMIS-2005650,42066607,MATCHED,Auto-match area diff: 7.1%
KRWAMIS-2005660,42066578,MATCHED,Auto-match area diff: 1.8%
KRWAMIS-2005670,42066935,MATCHED,Auto-match area diff: 6.5%
KRWAMIS-2005680,42066608,MATCHED,Auto-match area diff: 3.7%
KRWAMIS-2006625,42066650,MATCHED,Auto-match area diff: 4.6%
KRWAMIS-2006665,42066907,MATCHED,Auto-match area diff: 2.7%
KRWAMIS-2007660,42066510,MATCHED,Auto-match area diff: -0.2%
KRWAMIS-2007686,42066508,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-2008605,42066843,MATCHED,nan
KRWAMIS-2008630,42066819,MATCHED,Auto-match area diff: -5.3%
KRWAMIS-2008631,42066658,MATCHED,Auto-match area diff: 2.7%
KRWAMIS-2008635,42066634,MATCHED,nan
KRWAMIS-2008645,42066705,MATCHED,Auto-match area diff: 9.4%
KRWAMIS-2008665,42066549,MATCHED,nan
KRWAMIS-2008690,42066531,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-2010635,42066466,MATCHED,Auto-match area diff: 0.9%
KRWAMIS-2010640,42066793,MATCHED,nan
KRWAMIS-2010650,42066461,MATCHED,Auto-match area diff: -1.1%
KRWAMIS-2011625,42066744,MATCHED,Auto-match area diff: 8.5%
KRWAMIS-2011640,42066451,MATCHED,Auto-match area diff: 1.2%
KRWAMIS-2011650,42067308,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-2011660,42067306,MATCHED,Auto-match area diff: -3.7%
KRWAMIS-2012605,42067334,MATCHED,nan
KRWAMIS-2012625,42067333,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-2012628,42067301,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-2012632,42067328,MATCHED,Auto-match area diff: -0.3%
KRWAMIS-2012640,42067299,MATCHED,Auto-match area diff: 1.8%
KRWAMIS-2012648,42067918,MATCHED,nan
KRWAMIS-2012650,42067297,MATCHED,Auto-match area diff: -0.4%
KRWAMIS-2012652,42067904,MATCHED,nan
KRWAMIS-2012653,42067295,MATCHED,Auto-match area diff: 0.0%
KRWAMIS-2012660,42067294,MATCHED,Auto-match area diff: 3.7%
KRWAMIS-2012665,42067968,MATCHED,Auto-match area diff: 5.5%
KRWAMIS-2012670,42067293,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-2012690,42067499,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-2012695,42067290,MATCHED,Auto-match area diff: -0.7%
KRWAMIS-2012696,42067303,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-2013615,42067592,MATCHED,Auto-match area diff: -0.3%
KRWAMIS-2013629,42067459,MATCHED,nan
KRWAMIS-2013640,42067479,MATCHED,nan
KRWAMIS-2013650,42067416,MATCHED,Auto-match area diff: 1.2%
KRWAMIS-2014620,42067288,MATCHED,Auto-match area diff: 0.9%
KRWAMIS-2014680,42067285,MATCHED,Auto-match area diff: -4.9%
KRWAMIS-2014690,42067284,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-2015620,42067508,MATCHED,Auto-match area diff: 9.1%
KRWAMIS-2015630,42067450,MATCHED,Auto-match area diff: 2.2%
KRWAMIS-2015635,42067537,MATCHED,Auto-match area diff: 5.2%
KRWAMIS-2015637,42067843,MATCHED,nan
KRWAMIS-2015655,42067509,MATCHED,nan
KRWAMIS-2016650,42067393,MATCHED,Auto-match area diff: 9.8%
KRWAMIS-2017620,42067283,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-2017685,42067803,MATCHED,nan
KRWAMIS-2018608,42067883,MATCHED,Auto-match area diff: 3.0%
KRWAMIS-2018609,42067473,MATCHED,Auto-match area diff: 4.7%
KRWAMIS-2018620,42067841,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-2018623,42067500,MATCHED,nan
KRWAMIS-2018630,42067476,MATCHED,nan
KRWAMIS-2018635,42067426,MATCHED,Auto-match area diff: 3.3%
KRWAMIS-2018640,42067418,MATCHED,Auto-match area diff: 3.2%
KRWAMIS-2018645,42067414,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-2018650,42067401,MATCHED,Auto-match area diff: 3.6%
KRWAMIS-2018655,42067562,MATCHED,nan
KRWAMIS-2018665,42067434,MATCHED,Auto-match area diff: 2.8%
KRWAMIS-2018673,42067540,MATCHED,nan
KRWAMIS-2018674,42067389,MATCHED,Auto-match area diff: 0.0%
KRWAMIS-2018680,42067506,MATCHED,nan
KRWAMIS-2018685,42067445,MATCHED,nan
