site_id,COMID,comments
ABOM-19164010,56017816,
ABOM-16763010,56008368,
ABOM-19573010,56019703,
ABOM-19681010,56018853,
ABOM-19752010,56021295,
ABOM-18438010,56020967,
ABOM-20111010,56031516,
ABOM-20174010,56032185,
ABOM-133298010,56123698,
ABOM-132804010,56113094,
ABOM-132541010,56107007,
ABOM-132966010,56124216,
ABOM-133841010,56129195,
ABOM-134272010,56121877,
ABOM-133210010,56132721,
ABOM-133540010,56126802,
ABOM-133725010,56102954,
ABOM-182170010,56106975,
ABOM-134317010,56126225,
ABOM-182125010,56124797,
ABOM-133388010,56129321,
ABOM-133495010,56126478,
ABOM-132759010,56107334,
ABOM-133344010,56129348,
ABOM-134020010,56129348,
ABOM-145788010,56163912,
ABOM-148085010,56164782,
ABOM-184145010,56167971,
ABOM-147238010,56164649,
ABOM-147076010,56167971,
ABOM-148604010,56165082,
ABOM-124314010,56018743,
ABOM-146075010,56163887,
ABOM-147461010,56164627,
ABOM-147624010,NONE,
ABOM-128603010,56008676,
ABOM-146279010,NONE,
ABOM-147542010,56164727,
ABOM-123199010,56046042,
ABOM-123958010,56016618,
ABOM-147319010,56165518,
ABOM-147704010,56164847,
ABOM-123864010,56016540,
ABOM-150337010,56164904,
ABOM-150637010,56165585,
ABOM-189884010,56165431,
ABOM-149951010,56154666,
ABOM-149224010,NONE,
ABOM-189771010,56164697,
ABOM-184040010,NONE,
ABOM-184715010,56165517,
ABOM-150174010,56165287,
ABOM-150255010,56164546,
ABOM-150041010,56164761,
ABOM-149289010,56154753,
ABOM-149591010,56164079,
ABOM-188239010,56154887,
ABOM-189830010,56165087,
ABOM-150496010,56164757,
ABOM-36522010,56115370,
ABOM-146770010,NONE,
ABOM-40160010,NONE,
ABOM-43877010,56017340,
ABOM-44461010,56000331,
ABOM-18036010,56021512,
ABOM-21639010,56043944,
ABOM-19403010,56020349,
ABOM-19475010,56019849,
ABOM-21174010,56018158,
ABOM-24115010,56048190,
ABOM-30130010,56085932,
ABOM-28175010,56066121,
ABOM-33603010,56105569,
ABOM-32749010,56102052,
ABOM-32829010,56082733,
ABOM-33927010,56107877,
ABOM-189734010,56165903,
ABOM-184004010,56163972,
ABOM-184780010,56166169,
ABOM-149999010,56165626,
ABOM-150682010,56165508,
ABOM-149053010,56163955,
ABOM-149476010,NONE,
ABOM-189846010,56164798,
ABOM-149636010,56154666,
ABOM-189563010,NONE,
ABOM-182235010,56128302,
ABOM-79077010,56156249,
ABOM-97001010,56139938,
ABOM-131797010,56110202,
ABOM-131835010,56109840,
ABOM-132254010,56109437,
ABOM-136012010,56143451,
ABOM-132496010,56106210,
ABOM-135704010,56144191,
ABOM-80112010,56157619,
ABOM-98416010,56141931,
ABOM-132199010,56106333,
ABOM-132299010,56112606,
ABOM-135504010,56144574,
ABOM-135550010,56143879,
ABOM-135639010,56143002,
ABOM-135917010,56141716,
ABOM-132130010,56104609,
ABOM-135749010,56145760,
ABOM-181980010,56108910,
ABOM-132086010,56113155,
ABOM-134812010,56125914,
ABOM-135459010,56151395,
ABOM-135684010,56144006,
ABOM-104474010,56139251,
ABOM-131931010,56109284,
ABOM-132456010,56126204,
ABOM-136092010,56145381,
ABOM-131970010,56108224,
ABOM-132389010,56107334,
ABOM-134632010,56132383,
ABOM-188057010,56144477,
ABOM-140868010,56156208,
ABOM-137928010,56142267,
ABOM-138556010,56140828,
ABOM-139733010,56142325,
ABOM-140481010,56158113,
ABOM-140731010,56155005,
ABOM-141296010,56158049,
ABOM-139454010,56139717,
ABOM-188749010,56141302,
ABOM-136721010,56145886,
ABOM-136854010,56141096,
ABOM-136388010,56142693,
ABOM-137221010,56143840,
ABOM-138430010,56141522,
ABOM-18985010,56017795,
ABOM-44667010,56045575,
ABOM-30244010,56084463,
ABOM-30822010,56088493,
ABOM-33009010,56081612,
ABOM-28689010,56081830,
ABOM-31916010,56086235,
ABOM-43531010,56009976,
ABOM-36153010,56108019,
ABOM-39972010,56084474,
ABOM-40544010,56106459,
ABOM-42626010,56019584,
ABOM-39415010,56101704,
ABOM-38264010,56110507,
ABOM-39100010,56104104,
ABOM-43458010,56008878,
ABOM-37005010,56104443,
ABOM-37978010,56101461,
ABOM-42814010,56017190,
ABOM-43797010,56007803,
ABOM-42689010,56017244,
ABOM-43611010,56008497,
ABOM-455849010,56009407,
ABOM-23289010,56046274,
ABOM-24913010,56062584,
ABOM-17195010,56021975,
ABOM-22563010,56033510,
ABOM-18636010,56018508,
ABOM-20658010,56033937,
ABOM-25317010,56062715,
ABOM-16161010,56010808,
ABOM-22230010,56033824,
ABOM-23710010,56050654,
ABOM-16583010,56013357,
ABOM-17956010,NONE,
ABOM-20782010,56029037,
ABOM-23953010,56062127,
ABOM-16259010,56009202,
ABOM-18242010,56027091,
ABOM-18744010,56019550,
ABOM-81270010,56159767,
ABOM-100288010,56139495,
ABOM-90154010,56158753,
ABOM-104348010,56139328,
ABOM-122989010,56029283,
ABOM-117757010,56104122,
ABOM-83385010,56155138,
ABOM-143123010,56165725,
ABOM-142907010,56167087,
ABOM-142240010,56165016,
ABOM-142856010,56164840,
ABOM-142723010,56166071,
ABOM-142946010,56165116,
ABOM-83088010,56154563,
ABOM-142465010,56159289,
ABOM-113129010,56139313,
ABOM-145466010,56164837,
ABOM-143936010,56164477,
ABOM-144437010,56165826,
ABOM-144060010,56164127,
ABOM-124225010,56008698,
ABOM-144772010,56165573,
ABOM-143805010,56168827,
ABOM-183710010,56165361,
ABOM-117487010,56104442,
ABOM-144195010,56165232,
ABOM-144674010,56164932,
ABOM-143998010,56164151,
ABOM-127847010,56017848,
ABOM-189366010,56169492,
ABOM-188181010,56165694,
ABOM-189306010,56165481,
ABOM-189161010,56159670,
ABOM-107074010,56141559,
ABOM-90507010,56157709,
ABOM-119883010,56101923,
ABOM-136468010,56142979,
ABOM-136935010,56139719,
ABOM-137158010,56143638,
ABOM-139249010,56140801,
ABOM-182805010,56139714,
ABOM-140346010,56158113,
ABOM-140641010,56157398,
ABOM-140929010,56157866,
ABOM-136769010,56144060,
ABOM-202380010,56142524,
ABOM-127802010,56017108,
ABOM-182880010,56139727,
ABOM-182605010,56141779,
ABOM-182775010,56142115,
ABOM-128547010,56007609,
ABOM-183235010,56140807,
ABOM-182900010,56141867,
ABOM-188074010,56142442,
ABOM-188894010,56142584,
ABOM-182930010,56143043,
ABOM-182692010,56143451,
ABOM-182860010,56141024,
ABOM-188094010,56144095,
ABOM-188134010,56149673,
ABOM-96417010,NONE,
ABOM-85385010,56154550,
ABOM-112546010,56121683,
ABOM-117806010,56122176,
ABOM-83592010,56157603,
ABOM-123639010,56016562,
ABOM-124496010,56007807,
ABOM-106786010,56139243,
ABOM-82501010,56156802,
ABOM-83817010,56158245,
ABOM-106318010,56143134,
ABOM-79419010,NONE,
ABOM-120523010,56081310,
ABOM-123774010,56016582,
ABOM-155734010,56155588,
ABOM-156049010,56154725,
ABOM-151480010,56159169,
ABOM-153318010,56164113,
ABOM-153784010,56165132,
ABOM-151723010,56166198,
ABOM-154009010,56164782,
ABOM-156297010,56155953,
ABOM-185186010,56154878,
ABOM-151209010,56165444,
ABOM-151893010,56164068,
ABOM-152637010,NONE,
ABOM-153541010,56164867,
ABOM-155164010,56156225,
ABOM-155911010,56155651,
ABOM-185390010,NONE,
ABOM-153399010,56164283,
ABOM-150912010,56164931,
ABOM-155083010,56156017,
ABOM-155660010,56156196,
ABOM-155842010,56156441,
ABOM-157699010,56123544,
ABOM-186069010,56120979,
ABOM-186088010,56101900,
ABOM-185056010,56163891,
ABOM-156909010,56155214,
ABOM-185793010,NONE,
ABOM-190153010,56155955,
ABOM-185464010,56154733,
ABOM-157559010,56101834,
ABOM-185515010,56155964,
ABOM-157606010,56102101,
ABOM-188259010,56154749,
ABOM-185958010,56155606,
ABOM-159231010,56125304,
ABOM-159799010,56126495,
ABOM-160503010,56123299,
ABOM-160752010,56123512,
ABOM-160821010,56123147,
ABOM-162203010,56121255,
ABOM-157978010,56124577,
ABOM-158485010,56101816,
ABOM-186963010,56124567,
ABOM-207480010,56120864,
ABOM-160260010,NONE,
ABOM-161026010,56124886,
ABOM-162677010,56123687,
ABOM-170460010,56120818,
ABOM-164090010,56143213,
ABOM-203160010,56102543,
ABOM-159295010,56121399,
ABOM-160661010,56123878,
ABOM-161378010,56122338,
ABOM-161842010,56121111,
ABOM-162004010,56121081,
ABOM-162260010,56142677,
