site_id,COMID,status,comments
BRANA-87460200,,MATCHED,Auto-skipped: NO_CANDIDATES
BRANA-88750000,64069237,MATCHED,
BRANA-13150003,,REMOVED_DUPLICATE,Removed from COMID 62053056 during deduplication
BRANA-13169000,,REMOVED_DUPLICATE,Removed from COMID 62100601 during deduplication
BRANA-37610500,,REMOVED_DUPLICATE,Removed from COMID 63007194 during deduplication
BRANA-39191000,63017524,MATCHED_DEDUPE_OK,
BRANA-39192000,63017524,MATCHED_DEDUPE_OK,
BRANA-52360100,,REMOVED_DUPLICATE,Removed from COMID 63030653 during deduplication
BRANA-56994510,,REMOVED_DUPLICATE,Removed from COMID 63040554 during deduplication
BRANA-40822995,63040820,MATCHED_DEDUPE_OK,
BRANA-56924100,63041552,MATCHED_DEDUPE_OK,
BRANA-56924500,63041552,MATCHED_DEDUPE_OK,
BRANA-40810400,,REMOVED_DUPLICATE,Removed from COMID 63043969 during deduplication
BRANA-40810800,63043969,MATCHED_DEDUPE_OK,
BRANA-40811100,63043969,MATCHED_DEDUPE_OK,
BRANA-58630001,,REMOVED_DUPLICATE,Removed from COMID 63044077 during deduplication
BRANA-59120000,63044509,MATCHED_DEDUPE_OK,
BRANA-59125000,63044509,MATCHED_DEDUPE_OK,
BRANA-62760130,,REMOVED_DUPLICATE,Removed from COMID 64029086 during deduplication
BRANA-38895000,63010937,MATCHED,
BRANA-58630002,63044078,MATCHED,
BRANA-64619950,64042034,MATCHED,
BRANA-83690000,64047663,MATCHED,
BRANA-10100000,62053074,AUTO-MATCH,
BRANA-10200000,62054884,AUTO-MATCH,
BRANA-10300000,62053830,MATCHED,
BRANA-10500000,62053814,AUTO-MATCH,
BRANA-11200000,62053070,AUTO-MATCH,
BRANA-11400000,62037804,AUTO-MATCH,
BRANA-11500000,62037782,AUTO-MATCH,
BRANA-12100000,62054090,AUTO-MATCH,
BRANA-12150000,62054123,AUTO-MATCH,
BRANA-12180000,62054562,AUTO-MATCH,
BRANA-12210000,62054084,AUTO-MATCH,
BRANA-12240000,62038311,AUTO-MATCH,
BRANA-12360000,62100860,AUTO-MATCH,
BRANA-12370000,62084580,AUTO-MATCH,
BRANA-12390000,62084543,AUTO-MATCH,
BRANA-12400000,62070117,AUTO-MATCH,
BRANA-12500000,62084531,AUTO-MATCH,
BRANA-12500900,62086974,AUTO-MATCH,
BRANA-12510000,62086792,AUTO-MATCH,
BRANA-12510500,62086760,AUTO-MATCH,
BRANA-12520000,62069176,AUTO-MATCH,
BRANA-12530000,62086837,MATCHED,
BRANA-12540000,62070054,AUTO-MATCH,
BRANA-12550000,62069103,AUTO-MATCH,
BRANA-12559000,62085006,AUTO-MATCH,
BRANA-12590000,62084935,MATCHED,
BRANA-12600001,62084934,MATCHED,
BRANA-12630000,62084992,AUTO-MATCH,
BRANA-12640000,62085207,AUTO-MATCH,
BRANA-12650000,62085151,AUTO-MATCH,
BRANA-12680000,62069095,AUTO-MATCH,
BRANA-12700000,62069034,MATCHED,
BRANA-12840000,62053388,MATCHED,
BRANA-12845000,62022732,AUTO-MATCH,
BRANA-13150000,62053056,AUTO-MATCH,
BRANA-13169900,62100601,AUTO-MATCH,
BRANA-13180000,62085186,AUTO-MATCH,
BRANA-13290000,62100775,AUTO-MATCH,
BRANA-13300000,62100599,AUTO-MATCH,
BRANA-13310000,62085290,AUTO-MATCH,
BRANA-13405000,62085272,AUTO-MATCH,
BRANA-13410000,62085118,AUTO-MATCH,
BRANA-13450000,62099858,AUTO-MATCH,
BRANA-13470000,62098951,MATCHED,
BRANA-13490000,62098947,AUTO-MATCH,
BRANA-13540000,62101050,AUTO-MATCH,
BRANA-13550000,62098943,AUTO-MATCH,
BRANA-13568000,62098926,AUTO-MATCH,
BRANA-13572000,62101137,AUTO-MATCH,
BRANA-13578000,62100762,AUTO-MATCH,
BRANA-13600002,62098920,MATCHED,
