site_id,COMID,status,comments
KRWAMIS-4008655,42067381,MATCHED,
KRWAMIS-4009601,42067680,MATCHED,
KRWAMIS-4104603,42067587,MATCHED,
KRWAMIS-4104610,,MATCHED,
KRWAMIS-4104680,42067561,MATCHED,
KRWAMIS-5001615,42067797,MATCHED,
KRWAMIS-5001620,42067745,MATCHED,
KRWAMIS-5001630,,MATCHED,
KRWAMIS-5001650,42067558,MATCHED,
KRWAMIS-5002677,42067556,MATCHED,
KRWAMIS-5003605,42067526,MATCHED,
KRWAMIS-5003640,,MATCHED,Auto-skipped: NO_CANDIDATES
KRWAMIS-5004655,42067636,MATCHED,
KRWAMIS-5101620,42067635,MATCHED,
KRWAMIS-5301635,,MATCHED,Auto-skipped: NO_CANDIDATES
KRWAMIS-5301660,42067560,MATCHED,
KRWAMIS-1017690,,REMOVED_DUPLICATE,Removed from COMID 42065374 during deduplication
KRWAMIS-1018650,42065402,MATCHED_DEDUPE_OK,
KRWAMIS-1018655,42065402,MATCHED_DEDUPE_OK,
KRWAMIS-1018665,42065811,MATCHED_DEDUPE_OK,
KRWAMIS-1018669,42065811,MATCHED_DEDUPE_OK,
KRWAMIS-1002605,42065880,MATCHED_DEDUPE_OK,
KRWAMIS-1002610,42065880,MATCHED_DEDUPE_OK,
KRWAMIS-2009670,,NEEDS_REVIEW,Flagged from deduplication of COMID 42066505
KRWAMIS-2007620,,REMOVED_DUPLICATE,Removed from COMID 42066511 during deduplication
KRWAMIS-2001660,,REMOVED_DUPLICATE,Removed from COMID 42066535 during deduplication
KRWAMIS-2008632,,REMOVED_DUPLICATE,Removed from COMID 42066539 during deduplication
KRWAMIS-2401620,,NEEDS_REVIEW,Flagged from deduplication of COMID 42066567
KRWAMIS-2001629,42066583,MATCHED_DEDUPE_OK,
KRWAMIS-3007660,42066616,MATCHED_DEDUPE_OK,
KRWAMIS-3007670,42066616,MATCHED_DEDUPE_OK,
KRWAMIS-3101625,42066670,MATCHED_DEDUPE_OK,
KRWAMIS-2004629,42066686,MATCHED_DEDUPE_OK,
